syuzai_name,baitai_name,kouyaku
エニグマ 初開催,スクープTV,3台以上の2機種以上が設定⑤⑥
ギガニャントロス,スクープTV,2台設置以上の3機種が全台設定56
VIP,スクープTV,1/3以上が設定456
もっくんのスロっちょ！,スクープTV,未調査
スロット日報潜入調査＆中山来店,スロット日報,不明 知ってる人教えてください
スロパチ潜入取材 結,スロパチ,未調査
スロパチ潜入取材メガテン,スロパチ,番長3と絆2がチャンス?3台並びも◎
スロパチ潜入取材 メガテン,スロパチ,"番長3,絆2に6台並びで設定56投入
　　　その他並びで3か所に高設定投入"
スロパチ潜入取材メガテン,スロパチ,"番長3,絆2に6台並びで設定56投入
　　　その他並びで3か所に高設定投入"
スロパチ潜入取材 トレジャー,スロパチ,特定の台番の末尾に105%以上
とれまる×スロパチ取材 トレジャー,スロパチ,特定の台番の末尾に105%以上
あつまる×スロパチ取材,スロパチ,"等価で10割,非等価で11,2割営業"
あつまる応援地区,スロパチ,"等価で10割,非等価で11,2割営業"
スロパチ潜入取材,スロパチ,"等価で10割,非等価で11,2割営業"
かたまる応援地区,スロパチ,着ぐるみ来店なし
かたまる応援地区,スロパチ,着ぐるみ来店なし
とれまる応援地区,スロパチ,着ぐるみ来店なし
ぱちまる応援地区,スロパチ,着ぐるみ来店なし
いそまる来店実践,スロパチ,赤字営業(バラエティに入りやすい)
よしき来店実践,スロパチ,"赤字営業(かなり強い)
　　　番長3が高設定が入りやすい"
かたまる×スロパチ取材 結,スロパチ,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
かたまる×スロパチ取材結,スロパチ,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
かたまる応援地区,スロパチ,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
スロパチ潜入取材 結,スロパチ,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
スロパチ潜入取材結,スロパチ,"高設定が6台並びで投入
　　　200台なら3箇所,400台なら6箇所"
れんじろう来店実践,スロパチ,パチンコ2BOXボーダー+2以上
じゃんじゃん来店実践×スロパチ取材光,スロパチ,"パチンコ2BOXがボーダー＋2以上
　　ジャグラーシリーズが全体出率102%以上"
じゃんじゃん来店実践,スロパチ,パチンコ2BOXがボーダー＋2以上
ぱちまる襲来,スロパチ,パチンコ2BOXがボーダー＋2以上
スロパチ潜入取材 光,スロパチ,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
スロパチ潜入取材 光,スロパチ,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
スロパチ潜入取材光,スロパチ,"ジャグラー系が102%以上で営業
　　　ジャグラー系最強クラスの取材"
あつまる襲来,スロパチ,あつまるが来ると更に出率up
かたまる×スロパチ取材 結,スロパチ,"5,6台並びの設定⑤⑥が複数個所
　　　(設置200台→3か所,400台→6か所）"
スロパチ広告,スロパチ,"5,6台並びの設定⑤⑥が複数個所
　　　(設置200台→3か所,400台→6か所）"
スロパチ潜入取材結,スロパチ,"5,6台並びの設定⑤⑥が複数個所
　　　(設置200台→3か所,400台→6か所）"
ガチプロたちの挽歌,スロマガ,来店実践
スロマガ超ユーザーリサーチ,スロマガ,未調査
突撃回胴取材         スロマガ,スロマガ,未調査
萌スロcollection,スロマガ,萌スロシリーズが狙い目
スロマガ超インパクト取材,スロマガ,全台系が少なくとも5機種は設置
R30 ★★★★,ゼロノス,ジャグラーシリーズが狙い目の模様
夢幻 夢戦,チーム夢戦,北斗無双が対象になる
夢幻 ,チーム夢戦,不明 知ってる人教えてください
でちゃう来店 GIN,でちゃう,来店実践
でちゃう来店 こしあん,でちゃう,来店実践
でちゃう来店 ピスタチオ田中,でちゃう,来店実践
でちゃう来店 ぽぽ,でちゃう,来店実践
でちゃう来店 大原まい,でちゃう,来店実践
でちゃう来店 葉月,でちゃう,来店実践
でちゃう来店 鈴木優梨,でちゃう,来店実践
でちゃう来店 櫻井れな,でちゃう,来店実践
でちゃう来店ピスタチオ田中,でちゃう,来店実践
Amy取材 でちゃう,でちゃう,未調査
Amy取材でちゃう,でちゃう,未調査
テトスロ（でちゃう）,でちゃう,未調査
マジ活 でちゃう,でちゃう,未調査
中野連れ打ち,でちゃう,未調査
回胴アンケ,ニコナナ,列や3台以上の機種で全台系
さくたまの夢と日常【収録】,ニコナナ,来店実践
S級スロッター,ニコナナ,不明 知ってる人教えてください
ギャラクティカ,ニコナナ,不明
ホル調,パチ7,不明 知ってる人教えてください
熱盛アンケート,パチスロ熱盛(@zPLie1cOUYtF6sW),
必勝本ライター来店 クボンヌ,パチスロ必勝本,来店実践
必勝本ライター来店 ノリオ,パチスロ必勝本,来店実践
必勝本ライター来店 ヒラヤマン,パチスロ必勝本,来店実践
必勝本ライター来店 射駒タケシ,パチスロ必勝本,来店実践
必勝本ライター来店 松真ユウ,パチスロ必勝本,来店実践
必勝本ライター来店 青山りょう,パチスロ必勝本,来店実践
必勝本ライター来店 椎名まいたけ,パチスロ必勝本,来店実践
必勝本ライター来店 辻ヤスシ,パチスロ必勝本,来店実践
必勝本ライター来店 天草ヤスヲ,パチスロ必勝本,来店実践
必勝本ライター来店 梅屋シン,パチスロ必勝本,来店実践
必勝本ライター来店 美原アキラ,パチスロ必勝本,来店実践
必勝本ライター来店 嵐,パチスロ必勝本,来店実践
必勝本ライター来店情報,パチスロ必勝本,来店実践
Dokyun!,パチスロ必勝本,未調査
カンタ君入荷 必勝本,パチスロ必勝本,未調査
BUZZ!,パチスロ必勝本,半6が4機種
BUZZ! 関東,パチスロ必勝本,半6が4機種
Zukyun!,パチスロ必勝本,"特定末尾に設定56が投入
　　　（等価の場合は設定456）"
Zukyun DUO,パチスロ必勝本,特定の末尾に高設定投入
ズキュン！デュオ,パチスロ必勝本,特定の末尾に高設定投入
Bakyun!スケールO,パチスロ必勝本,"台番号5台以上並びで
　　　　高設定が8箇所以上"
Bakyun!トレス,パチスロ必勝本,設定⑤⑥の3台並びが5箇所以上
DiCE,パチスロ必勝本,"⑥台以上の設置機種から
　　　2機種以上がオール設定"
S-Bakyun!,パチスロ必勝本,5台並びで設定456が複数箇所
S-Bakyun!トレス,パチスロ必勝本,5台並びで設定456が複数箇所
Bakyun!スケールL,パチスロ必勝本,5台並びで7〜8箇所が全④⑤⑥
Bakyun!スケールX,パチスロ必勝本,5台並びで10か所に全⑤⑥
Bakyun!,パチスロ必勝本,"５台以上並びで設定６が
　　　２ヵ所以上設置(台数で変化)"
Bakyun!&,パチスロ必勝本,"５台以上並びで設定６が
　　　２ヵ所以上設置(台数で変化)"
ZEN 禅,パチスロ必勝本,3台以上の機種に全56あり
インパクト取材 パチマガスロマガ,パチスロ必勝本,３台以上の機種で設定⑥×3箇所以上
ゆり姉実践,フリー,不明 知ってる人教えてください
ゆり姉来店,フリー,不明 知ってる人教えてください
ホールサーチマン ,ホールサーチマン,予想人数の多さで察してください
ホールサーチマン 予想人数多い,ホールサーチマン,未調査
ホールサーチマン 金色,ホールサーチマン,サーチマンHP上の3機種が狙い目
ホールサーチマン 赤色,ホールサーチマン,サーチマンHP上の3機種が狙い目
ホールサーチマン 虹色,ホールサーチマン,サーチマンHP上の3機種が狙い目
GOTO神奈川,ホール攻略,未調査
GOTO神奈川 初開催,ホール攻略,未調査
ゴン予想（みんパチ）,ホール攻略,未調査
スロッタースロッター広告,ホール攻略,未調査
ネテロ会長予想（みんパチ予想）,ホール攻略,未調査
パチンカー×パチンカー 初開催,ホール攻略,"パチンコ2機種以上で分岐営業
　　　対象機種はHP要確認"
パチンカー×パチンカー広告,ホール攻略,未調査
